# SHiP BC4 dark-scalar sensitivity
# PUBLISHED SOURCE (cite this): arXiv:2310.17726 (PBC, Post-LS3 Options in
# ECN3), Fig 9-PhysicsPotential/BC4.pdf, red SHiP curve.
# Traced from the identical, cleaner two-colour rendering in
# arXiv:2504.06692 figs/BC4.pdf (SHiP source figure, commented out of the
# published PDF); verified to overlay the 2310.17726 SHiP contour.
# Date: 2026-07-11
# Source y axis is theta^2 (= sin^2 theta at these mixings).
# Clipped to the figure frame m_S in [0.1, 5.5] GeV.
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 627 vertices
1.594113e-01  3.673487e-08
1.579582e-01  3.706216e-08
1.558221e-01  3.755726e-08
1.557663e-01  3.757858e-08
1.536509e-01  3.808326e-08
1.522047e-01  3.843071e-08
1.505666e-01  3.883920e-08
1.494598e-01  3.911025e-08
1.487195e-01  3.930498e-08
1.454883e-01  4.015355e-08
1.453843e-01  4.018487e-08
1.453190e-01  4.019631e-08
1.449460e-01  4.029623e-08
1.419951e-01  4.112241e-08
1.414246e-01  4.128029e-08
1.405860e-01  4.150937e-08
1.387437e-01  4.205491e-08
1.375681e-01  4.239350e-08
1.358489e-01  4.292625e-08
1.355712e-01  4.300855e-08
1.338158e-01  4.356144e-08
1.324670e-01  4.398697e-08
1.312627e-01  4.439146e-08
1.301711e-01  4.474886e-08
1.294337e-01  4.499723e-08
1.268440e-01  4.588068e-08
1.266216e-01  4.596865e-08
1.264689e-01  4.601760e-08
1.256950e-01  4.628945e-08
1.248853e-01  4.658268e-08
1.235813e-01  4.706446e-08
1.231688e-01  4.720829e-08
1.225658e-01  4.744339e-08
1.207556e-01  4.814541e-08
1.198131e-01  4.850887e-08
1.184399e-01  4.904886e-08
1.179866e-01  4.922667e-08
1.165460e-01  4.981702e-08
1.152888e-01  5.035728e-08
1.144452e-01  5.070865e-08
1.133680e-01  5.118587e-08
1.126480e-01  5.149918e-08
1.105926e-01  5.242093e-08
1.102803e-01  5.256621e-08
1.100723e-01  5.267075e-08
1.089945e-01  5.317023e-08
1.075518e-01  5.386518e-08
1.072722e-01  5.399908e-08
1.068626e-01  5.421027e-08
1.050891e-01  5.509057e-08
1.043471e-01  5.548681e-08
1.032609e-01  5.604473e-08
1.026888e-01  5.635580e-08
1.015050e-01  5.698313e-08
1.003341e-01  5.763373e-08

# chain: 588 vertices
2.329398e-01  1.000036e-03
2.331142e-01  9.887457e-04
2.343818e-01  9.048213e-04
2.349537e-01  8.706206e-04
2.359878e-01  8.152522e-04
2.361783e-01  8.060486e-04
2.372020e-01  7.579534e-04
2.377175e-01  7.361673e-04
2.391056e-01  6.816158e-04
2.395395e-01  6.658873e-04
2.396730e-01  6.598197e-04
2.401020e-01  6.462887e-04
2.413755e-01  6.023166e-04
2.422725e-01  5.744323e-04
2.424297e-01  5.698445e-04
2.432822e-01  5.454339e-04
2.445888e-01  5.125980e-04
2.451142e-01  5.000948e-04
2.453284e-01  4.952919e-04
2.458002e-01  4.849628e-04
2.474906e-01  4.505900e-04
2.483133e-01  4.353774e-04
2.497778e-01  4.107671e-04
2.508750e-01  3.929477e-04
2.517655e-01  3.789275e-04
2.520756e-01  3.743309e-04
2.526907e-01  3.657189e-04
2.544877e-01  3.418050e-04
2.554888e-01  3.298904e-04
2.562038e-01  3.218439e-04
2.570469e-01  3.128816e-04
2.595886e-01  2.882405e-04
2.596901e-01  2.871993e-04
2.597247e-01  2.869548e-04
2.597743e-01  2.864869e-04
2.624390e-01  2.631765e-04
2.640988e-01  2.500328e-04
2.652767e-01  2.417799e-04
2.670499e-01  2.299494e-04
2.682498e-01  2.226121e-04
2.690788e-01  2.176759e-04
2.713082e-01  2.051384e-04
2.741071e-01  1.909779e-04
2.744197e-01  1.894930e-04
2.744653e-01  1.892377e-04
2.745361e-01  1.889157e-04
2.777655e-01  1.749166e-04
2.799852e-01  1.649707e-04
2.800505e-01  1.586562e-04
2.800854e-01  1.492213e-04
2.801040e-01  1.436218e-04
2.801227e-01  1.383108e-04
2.801506e-01  1.297355e-04
2.801856e-01  1.250356e-04
2.802042e-01  1.205745e-04
2.802322e-01  1.127862e-04
2.802322e-01  1.088547e-04
2.802672e-01  1.050901e-04
2.820303e-01  9.508442e-05
2.820491e-01  9.474092e-05
2.820679e-01  9.447911e-05
2.822322e-01  9.130880e-05
2.826903e-01  8.316811e-05
2.827373e-01  8.248048e-05
2.827843e-01  8.168253e-05
2.833730e-01  7.329445e-05
2.834814e-01  7.180667e-05
2.836394e-01  7.003532e-05
2.841093e-01  6.462505e-05
2.843220e-01  6.251414e-05
2.845989e-01  5.995095e-05
2.849328e-01  5.707821e-05
2.852292e-01  5.442033e-05
2.856827e-01  5.120224e-05
